Frequency  (MHz);;;;;;;;;;;;;;
5180;Theta Angle;0;15;30;45;60;75;90;105;120;135;150;165;180
;Phi Angle;Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB);Response  (dB)
;0;-37,54;-36,75;-32,67;-31,19;-29,46;-33,32;-50,55;-36,79;-33,19;-36,71;-32,83;-34,67;-34,59
;15;-40,12;-38,98;-39,41;-31,96;-32,44;-36,45;-50,88;-36,00;-34,56;-35,77;-34,74;-36,33;-35,48
;30;-44,77;-42,35;-40,90;-37,15;-38,88;-51,37;-41,99;-39,07;-35,68;-47,29;-34,40;-34,96;-37,17
;45;-57,76;-47,32;-41,63;-43,26;-45,64;-37,52;-36,41;-35,93;-37,83;-41,00;-34,20;-37,25;-40,06
;60;-49,70;-49,03;-36,39;-40,02;-37,60;-36,14;-36,45;-38,80;-40,94;-35,70;-36,44;-38,04;-45,45
;75;-42,36;-41,70;-34,57;-37,41;-43,04;-40,79;-45,39;-36,31;-35,68;-39,28;-35,14;-39,70;-68,31
;90;-38,83;-36,40;-33,48;-41,67;-38,07;-37,88;-31,92;-32,47;-44,95;-43,14;-33,51;-37,28;-46,75
;105;-36,78;-35,06;-31,23;-35,22;-31,61;-33,91;-38,79;-42,64;-38,10;-39,94;-40,61;-40,45;-40,66
;120;-35,62;-30,03;-29,66;-32,03;-31,55;-35,00;-30,56;-32,56;-34,61;-43,65;-35,81;-36,89;-37,52
;135;-35,15;-30,63;-28,95;-31,59;-28,74;-30,03;-30,34;-39,80;-38,65;-38,36;-30,56;-38,63;-35,68
;150;-35,28;-30,00;-28,26;-28,76;-30,91;-34,99;-35,57;-38,70;-43,38;-39,22;-29,57;-36,81;-34,68
;165;-36,03;-30,03;-29,59;-28,10;-33,51;-32,72;-28,12;-31,48;-38,34;-41,23;-32,91;-32,41;-34,33
;180;-37,54;-30,90;-29,32;-34,28;-34,51;-28,79;-27,72;-31,50;-33,80;-39,96;-34,84;-31,15;-34,59
;195;-40,12;-32,80;-33,64;-38,84;-34,95;-28,56;-30,34;-30,65;-35,16;-34,09;-36,23;-31,49;-35,48
;210;-44,77;-37,93;-38,14;-39,97;-37,10;-31,54;-33,06;-31,69;-38,55;-32,94;-33,26;-31,50;-37,17
;225;-57,76;-38,66;-48,24;-43,37;-40,20;-38,15;-38,31;-34,91;-45,73;-32,47;-33,40;-32,58;-40,06
;240;-49,70;-39,22;-43,42;-41,52;-40,44;-38,65;-47,23;-41,70;-47,45;-35,68;-32,02;-35,36;-45,45
;255;-42,36;-39,81;-42,42;-37,55;-41,11;-43,76;-47,79;-39,49;-45,30;-46,31;-39,59;-42,76;-68,31
;270;-38,83;-36,84;-41,75;-40,19;-40,11;-43,77;-44,07;-46,69;-46,70;-44,81;-47,16;-42,75;-46,75
;285;-36,78;-37,35;-42,56;-38,34;-43,38;-50,48;-39,98;-39,00;-35,62;-40,30;-43,74;-45,20;-40,66
;300;-35,62;-37,05;-35,86;-39,36;-39,65;-38,06;-41,34;-39,53;-32,60;-35,11;-34,49;-39,96;-37,52
;315;-35,15;-38,65;-35,89;-33,88;-31,78;-36,36;-35,95;-35,65;-34,85;-31,09;-34,07;-38,41;-35,68
;330;-35,28;-39,89;-33,18;-30,33;-29,48;-30,12;-34,39;-42,97;-36,40;-33,86;-30,71;-36,53;-34,68
;345;-36,03;-43,62;-31,79;-29,21;-30,42;-30,71;-35,07;-38,78;-39,87;-36,86;-32,56;-36,67;-34,33
;;;;;;;;;;;;;;
