Freq(MHz);Theta;Phi;Data(dB)
5180;0;0;-36,34
5180;0;15;-38,42
5180;0;30;-42,77
5180;0;45;-55,86
5180;0;60;-48,6
5180;0;75;-41,36
5180;0;90;-37,03
5180;0;105;-35,68
5180;0;120;-34,32
5180;0;135;-33,85
5180;0;150;-33,78
5180;0;165;-34,33
5180;0;180;-35,94
5180;0;195;-39,12
5180;0;210;-43,27
5180;0;225;-55,96
5180;0;240;-48,6
5180;0;255;-40,46
5180;0;270;-34,43
5180;0;285;-35,48
5180;0;300;-31,82
5180;0;315;-33,95
5180;0;330;-32,58
5180;0;345;-34,93
5180;15;0;-32,05
5180;15;15;-37,78
5180;15;30;-39,15
5180;15;45;-45,82
5180;15;60;-45,73
5180;15;75;-39,8
5180;15;90;-32,3
5180;15;105;-33,36
5180;15;120;-27,63
5180;15;135;-29,63
5180;15;150;-25
5180;15;165;-28,73
5180;15;180;-26,7
5180;15;195;-31,5
5180;15;210;-35,13
5180;15;225;-37,46
5180;15;240;-35,32
5180;15;255;-38,51
5180;15;270;-33,04
5180;15;285;-36,15
5180;15;300;-33,15
5180;15;315;-37,15
5180;15;330;-36,79
5180;15;345;-41,72
5180;30;0;-29,77
5180;30;15;-37,91
5180;30;30;-37,9
5180;30;45;-40,33
5180;30;60;-34,39
5180;30;75;-33,47
5180;30;90;-30,78
5180;30;105;-30,13
5180;30;120;-27,06
5180;30;135;-27,15
5180;30;150;-24,66
5180;30;165;-28,19
5180;30;180;-25,02
5180;30;195;-31,84
5180;30;210;-33,54
5180;30;225;-46,64
5180;30;240;-40,02
5180;30;255;-40,92
5180;30;270;-38,75
5180;30;285;-40,66
5180;30;300;-30,86
5180;30;315;-34,59
5180;30;330;-30,58
5180;30;345;-30,29
5180;45;0;-27,89
5180;45;15;-30,46
5180;45;30;-33,05
5180;45;45;-41,36
5180;45;60;-37,72
5180;45;75;-35,41
5180;45;90;-38,17
5180;45;105;-34,02
5180;45;120;-28,43
5180;45;135;-29,79
5180;45;150;-24,96
5180;45;165;-26,9
5180;45;180;-32,18
5180;45;195;-37,34
5180;45;210;-37,17
5180;45;225;-41,77
5180;45;240;-37,62
5180;45;255;-36,05
5180;45;270;-37,09
